Vehicle [frontAxleOnA=98186, rearAxleOnA=98333, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=499718, rearAxleOnA=499886, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=638379, rearAxleOnA=638520, frontAxleOnB=638382, rearAxleOnB=638523, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=1016488, rearAxleOnA=1016648, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=1058535, rearAxleOnA=1058659, frontAxleOnB=1058538, rearAxleOnB=1058662, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=1201386, rearAxleOnA=1201539, frontAxleOnB=1201389, rearAxleOnB=1201542, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=1624044, rearAxleOnA=1624188, frontAxleOnB=1624047, rearAxleOnB=1624191, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=1782481, rearAxleOnA=1782660, frontAxleOnB=1782484, rearAxleOnB=1782664, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=2146213, rearAxleOnA=2146349, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=2211004, rearAxleOnA=2211128, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=2422884, rearAxleOnA=2423013, frontAxleOnB=2422887, rearAxleOnB=2423016, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=2597513, rearAxleOnA=2597667, frontAxleOnB=2597516, rearAxleOnB=2597670, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=2695213, rearAxleOnA=2695369, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=3280268, rearAxleOnA=3280386, frontAxleOnB=3280271, rearAxleOnB=3280388, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=3318189, rearAxleOnA=3318355, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=4021664, rearAxleOnA=4021806, frontAxleOnB=4021667, rearAxleOnB=4021809, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=4455194, rearAxleOnA=4455327, frontAxleOnB=4455196, rearAxleOnB=4455330, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=5060792, rearAxleOnA=5060911, frontAxleOnB=5060795, rearAxleOnB=5060913, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=5411133, rearAxleOnA=5411294, frontAxleOnB=5411136, rearAxleOnB=5411297, direction=SOUTH_BOUND, day=ONE]
